customer_id,total_spent
f959b7bc834045511217e6410985963f,1338.41
3118aefef04e5e97d0e339cd75d6d775,1025.71
6f241d5bbb142b6f764387c8c270645a,1020.0
de832e8dbb1f588a47013e53feaa67cc,740.76
85ed641fe825f188f1a67b317b5f540c,666.71
a99b2128d3db96e838381fe6042cdee6,622.08
911035bc0dcc0c5ee9580cbe3e59ed06,599.26
d3e82ccec3cb5f956a38d96c057ceaae,598.75
03b243d7ac6a467982044dd9dddb4d68,583.15
5bb40f4d5a4371842ecc05e3b4475dc1,567.59
